Producto Base ID,Recomendado ID,Recomendado Producto,Categoría,Sentimiento promedio
14,12,"Lenovo IdeaPad 1 Student Laptop, 15.6"" FHD Display, Intel Dual Core Processor, 12GB RAM, 512GB SSD + 128GB eMMC, 1 Year Office 365, Wi-Fi 6, Webcam, Bluetooth, SD Card Reader, Windows 11 Home, Grey",laptops,0.3358669108669108
14,45,"LENOVO IdeaPad 1 Laptop, 15.6” FHD Display, Intel Celeron N4500 Processor, 20GB RAM, 1TB SSD, SD Card Reader, Numeric Keypad, HDMI, Wi-Fi 6, Windows 11 Home, 1 Year Office 365, Grey",laptops,0.503465909090909
14,65,"LENOVO IdeaPad 1 Laptop, 15.6” FHD Display, Intel Celeron N4500 Processor, 20GB RAM, 1TB SSD, SD Card Reader, Numeric Keypad, HDMI, Wi-Fi 6, Windows 11 Home, 1 Year Office 365, Grey",laptops,0.503465909090909
14,8,"Lenovo V15 G2 Laptop, 15.6"" FHD Screen, Intel Dual-core Processor, 16GB RAM, 1TB SSD, Webcam, HDMI, Wi-Fi, Windows 11 Home, Black",laptops,0.3033333333333333
14,9,"HP Portable Laptop, Student and Business, 14"" HD Display, Intel Quad-Core N4120, 8GB DDR4 RAM, 64GB eMMC, 1 Year Office 365, Webcam, RJ-45, HDMI, Wi-Fi, Windows 11 Home, Silver",laptops,0.3669544299201162
15,20,"Lenovo IdeaPad 3i Chromebook, 15.6” FHD Display, Intel Celeron N4500, 8GB RAM, 64GB eMMC, 1920x1080 px, 720p Camera, Chrome OS, Abyss Blue",laptops,0.5271942110177404
15,35,"acer Gateway Chromebook 311 CBO311-1H-C1MX Laptop | Intel Celeron N4500 | 11.6"" HD (1366 x 768) Display | 4GB LPDDR4X | 64GB eMMC | Wi-Fi 5 802.11ac | Chrome OS | Star Black",laptops,0.658888888888889
15,40,"acer Gateway Chromebook 311 CBO311-1H-C1MX Laptop | Intel Celeron N4500 | 11.6"" HD (1366 x 768) Display | 4GB LPDDR4X | 64GB eMMC | Wi-Fi 5 802.11ac | Chrome OS | Star Black",laptops,0.658888888888889
15,4,"ASUS 15.6” Vivobook Go Laptop, Intel Dual Core N4500, 4GB RAM, 128GB SSD, Windows 11 in S Mode, Star Black, L510KA-ES04",laptops,0.5114814814814814
15,6,"HP Stream 14"" HD BrightView Laptop, Intel Celeron N4120 Processor, 16GB RAM, 64GB SSD, Intel UHD Graphics, 720p Webcam, WiFi, HDMI, Win 11 S, Gold (Renewed)",laptops,0.314484126984127
16,29,"NIMO 15.6 FHD Laptop, Intel 6-Cores i3-1215U, 32GB RAM, 1TB SSD, (Beat i5-1135G7, Up to 4.4GHz), 65W Type-C, Fingerprint, Backlit Keyboard, IPS Business Laptop, Wi-Fi 6, Numpad, Win 11",laptops,0.2141470205395644
16,2,"15.6"" FHD IPS Business Laptop, 32GB RAM 1TB SSD, AMD Ryzen 5(Beat i3-1215U, 4 Cores Up to 3.7GHz), 65W Type-C, 2 Years Warranty, Fingerprint, Backlit Keyboard, Wi-Fi 5, BT5.2, Numpad",laptops,0.5098490259740259
16,53,"HP 17.3"" FHD Business Laptop Computer, 32GB RAM, 1TB PCIe SSD, 12th Intel 6-Core i3-1215U(Up to 4.4GHz, Beat i5-1125G4), Type-C, HDMI, Win 11 Home, WiFi, Webcam, Numpad, W/GM Accessories",laptops,0.3268709866522366
16,69,"HP 17.3"" FHD Business Laptop Computer, 32GB RAM, 1TB PCIe SSD, 12th Intel 6-Core i3-1215U(Up to 4.4GHz, Beat i5-1125G4), Type-C, HDMI, Win 11 Home, WiFi, Webcam, Numpad, W/GM Accessories",laptops,0.3268709866522366
16,48,"Dell Inspiron 15 3520 15.6"" FHD Laptop, 32GB RAM,1TB SSD, Intel Core i3-1215U Processor(Beat i5-1135G7), SD Card Reader, WiFi, Bluetooth, Webcam, Win 11 Home, Alpacatec Accessories, Carbon Black",laptops,0.3993333333333334
17,24,"HP Laptop Computer, 15.6"" HD Display Laptops for Business & School, Intel Pentium N200(4-Core CPU), 16GB RAM|256GB(128GB SSD+128GB External SSD), Wi-Fi|Webcam, Light-Weight, Windows 11, RKPC Bundle",laptops,0.0
17,19,"HP Newest Flagship 14"" Laptop with Free AI-Powered Microsoft 365 | Bluetooth Earphones | 16GB RAM | 512GB External Drive & 128GB onboard Storage | Intel 4-Core Processor | 14"" HD Display | Windows 11",laptops,0.4621527777777778
17,47,"HP 14 HD Laptop Computer Students Business, Quad-Core Intel Celeron Processor, 16GB RAM, 256GB Storage(128GB eMMC+128GB SD Card), 1 Year Office 365, HDMI, Win 12 w/TP Accessories",laptops,0.7500000000000001
17,27,"HP Featherlight Laptop with Wireless Earbuds, 16GB RAM, 64GB Storage and 500GB External Drive, 14'' HD Display, Thin & Portable, Webcam, HDMI, WiFi, USB, Snowflake, Windows 11, 1-Year Microsoft 365",laptops,0.3083333333333333
17,12,"Lenovo IdeaPad 1 Student Laptop, 15.6"" FHD Display, Intel Dual Core Processor, 12GB RAM, 512GB SSD + 128GB eMMC, 1 Year Office 365, Wi-Fi 6, Webcam, Bluetooth, SD Card Reader, Windows 11 Home, Grey",laptops,0.3358669108669108
18,37,"Dell XPS 13 9340 Business Laptop - 13.4"" OLED, Intel 16 Core Ultra 7 155H, 32GB DDR5, 512GB SSD, Windows 11 Pro, Microsoft Office Lifetime License, Backlit Keyboard, Wi-Fi 7",laptops,0.0
18,25,"ASUS ROG Strix G16 (2024) Gaming Laptop, 16” 16:10 FHD 165Hz Display, NVIDIA® GeForce RTX™ 4060, Intel Core i7-13650HX, 16GB DDR5, 1TB PCIe Gen4 SSD, Wi-Fi 6E, Windows 11, G614JV-AS74",laptops,0.207730317652115
18,56,"ASUS TUF Gaming A16 (2024) Gaming Laptop, 16” QHD+ 165Hz 16:10 Display, AMD Ryzen™ 9 7940HX, NVIDIA® GeForce RTX™ 4070, 16GB DDR5, 1TB PCIe Gen4 SSD, Wi-Fi 6, Windows 11, FA607PI-AS94",laptops,0.1754960317460317
18,60,"Lenovo ThinkBook 16 G6 16"" FHD+ Laptop Computer, Hexa-Core AMD Ryzen 5 7430U (Beat i7-1355U), 32GB DDR4 RAM, 1TB PCIe SSD, WiFi 6, Bluetooth 5.3, Fingerprint Reader, Windows 11 Pro, AZ-XUT",laptops,0.1105555555555555
18,28,"DELL Inspiron 15 Touchscreen Laptop Computer for Business, 15.6"" FHD Anti-Glare Laptop, 13th Gen Intel Core i7-1355U(Up to 5GHz, 10 Cores), 32GB RAM, 1TB SSD, Wi-Fi 6, Win 11 Pro, with Wired Mouse",laptops,0.4456349206349206
19,17,"HP AI-Powered Laptop with Microsoft Office and 1TB Cloud Storage included for 1-Year| 14"" HD Computer| 16GB RAM| 128GB SSD & 512GB Card & 128GB Portable SSD| Intel 4-Core CPU| Webcam| Win11| LE Bundle",laptops,0.0
19,27,"HP Featherlight Laptop with Wireless Earbuds, 16GB RAM, 64GB Storage and 500GB External Drive, 14'' HD Display, Thin & Portable, Webcam, HDMI, WiFi, USB, Snowflake, Windows 11, 1-Year Microsoft 365",laptops,0.3083333333333333
19,55,"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)",laptops,-0.065625
19,47,"HP 14 HD Laptop Computer Students Business, Quad-Core Intel Celeron Processor, 16GB RAM, 256GB Storage(128GB eMMC+128GB SD Card), 1 Year Office 365, HDMI, Win 12 w/TP Accessories",laptops,0.7500000000000001
